Key,Text,Max length
General.AppName,OONI Probe,
Onboarding.WhatIsOONIProbe.Title,What is OONI Probe?,
Onboarding.WhatIsOONIProbe.Paragraph,"Your app for measuring internet censorship. 

Are websites and social media apps blocked? Is your internet connection unusually slow?

Run OONI Probe to find out!",
Onboarding.WhatIsOONIProbe.GotIt,Got It,
Onboarding.ThingsToKnow.Title,Heads-up!,
Onboarding.ThingsToKnow.Bullet.1,OONI data is openly published and will include your network information. ,
Onboarding.ThingsToKnow.Bullet.2,Anyone monitoring your internet activity (e.g. government or ISP) will see that you are running OONI Probe.,
Onboarding.ThingsToKnow.Bullet.3,You might test banned websites (but you can choose which sites to test).,
Onboarding.ThingsToKnow.Button,I understand,14
Onboarding.ThingsToKnow.LearnMore,Learn more,
Onboarding.PopQuiz.Title,Pop Quiz,
Onboarding.PopQuiz.True,True ,12
Onboarding.PopQuiz.False,False ,12
Onboarding.PopQuiz.Wrong.Button.Back,Go back,12
Onboarding.PopQuiz.Wrong.Button.Continue,Continue,12
Onboarding.PopQuiz.1.Title,Question 1/2,
Onboarding.PopQuiz.1.Question,"If someone is monitoring my internet activity, they will see that I am running OONI Probe.",
Onboarding.PopQuiz.1.Wrong.Title,Warning,
Onboarding.PopQuiz.1.Wrong.Paragraph,OONI Probe is not a privacy tool. Anyone monitoring your internet activity will see which software you are running.,
Onboarding.PopQuiz.2.Title,Question 2/2,
Onboarding.PopQuiz.2.Question,"Every time I run OONI Probe, the network data I collect will automatically get published.",
Onboarding.PopQuiz.2.Wrong.Title,Warning,
Onboarding.PopQuiz.2.Wrong.Paragraph,"To increase transparency of internet censorship, the network data of all OONI Probe users is automatically published (unless they opt-out in the settings).",
Onboarding.DefaultSettings.Title,Default Settings,
Onboarding.DefaultSettings.Header,We collect and publish:,
Onboarding.DefaultSettings.Bullet.1,Country code (e.g. IT for Italy),
Onboarding.DefaultSettings.Bullet.2,Network information (including Autonomous System Number),
Onboarding.DefaultSettings.Bullet.3,Time & date of testing,
Onboarding.DefaultSettings.Paragraph,"We do our best not to publish your IP address or any other potentially personally-identifiable information.

Learn more through [OONI's Data Policy](https://ooni.io/about/data-policy/).",
Onboarding.DefaultSettings.Button.Go,Let's go,12
Onboarding.DefaultSettings.Button.Change,Change defaults,25
Dashboard.Tab.Label,Dashboard,12
Dashboard.Card.Run,Run,8
Dashboard.Overview.LastRun.Never,N/A,3
Dashboard.Overview.Run,Run,8
Dashboard.Overview.LatestTest,Last test:,
Dashboard.Overview.Estimated,Estimated:,
Dashboard.Overview.ChooseWebsites,Choose websites,
Dashboard.Running.Running,Running:,
Dashboard.Running.EstimatedTimeLeft,Estimated time left:,
Dashboard.Running.Seconds,{{seconds}} seconds,
Dashboard.Running.PreparingTest,Preparing test,
Dashboard.Running.ShowLog,Show Log,
Dashboard.Running.CloseLog,Close Log,
Dashboard.Card.Subtitle,Tap card for more,
Dashboard.Card.Seconds,~{{seconds}}s,
Dashboard.Websites.Card.Description,Test the blocking of websites,
Dashboard.Websites.Overview.Paragraph,"Check whether websites are blocked using OONI's [Web Connectivity test](https://ooni.io/nettest/web-connectivity/).

Every time you tap Run, you test different websites from the Citizen Lab's [global](https://github.com/citizenlab/test-lists/blob/master/lists/global.csv) and [country-specific](https://github.com/citizenlab/test-lists/tree/master/lists) test lists.

To test the sites of your choice, tap the Choose websites button or select categories of sites via the settings of this card. 

This test measures whether websites are blocked by means of DNS tampering, TCP/IP blocking or by a transparent HTTP proxy.

Your results will be published on [OONI Explorer](https://explorer.ooni.io/world/) and [OONI API](https://api.ooni.io/).",
Dashboard.Performance.Card.Description,Test your network speed and performance,
Dashboard.Performance.Overview.Paragraph,"Measure the speed and performance of your network using the [NDT](https://ooni.io/nettest/ndt/) test.

Measure video streaming performance using the [DASH](https://ooni.io/nettest/dash/) test.

These tests consume data depending on your network speed.

Your results will be published on [OONI Explorer](https://explorer.ooni.io/world/) and [OONI API](https://api.ooni.io/).

Disclaimer: These tests rely on third party servers. We therefore cannot guarantee that your IP address will not be collected.",
Dashboard.Middleboxes.Card.Description,Detect middleboxes in your network,
Dashboard.Middleboxes.Overview.Paragraph,"Internet Service Providers often use network appliances (middleboxes) for various networking purposes (such as caching). Sometimes these middleboxes are used to implement internet censorship and/or surveillance.

Find middleboxes in your network using OONI's [HTTP Invalid Request Line](https://ooni.io/nettest/http-invalid-request-line/) and [HTTP Header Field Manipulation](https://ooni.io/nettest/http-header-field-manipulation/) tests.

Your results will be published on [OONI Explorer](https://explorer.ooni.io/world/) and [OONI API](https://api.ooni.io/).",
Dashboard.InstantMessaging.Card.Description,Test the blocking of instant messaging apps,
Dashboard.InstantMessaging.Overview.Paragraph,"Check whether [WhatsApp](https://ooni.io/nettest/whatsapp/), [Facebook Messenger](https://ooni.io/nettest/facebook-messenger/) and [Telegram](https://ooni.io/nettest/telegram/) are blocked.

Your results will be published on [OONI Explorer](https://explorer.ooni.io/world/) and [OONI API](https://api.ooni.io/).",
Dashboard.Circumvention.Card.Description,Dashboard InstantMessaging Card Description,
Dashboard.Circumvention.Overview.Paragraph,Dashboard InstantMessaging Overview Paragraph,
TestResults.Gbps,Gbps,
TestResults.Mbps,Mbps,
TestResults.Kbps,Kbps,
TestResults.ms,ms,
TestResults.NotAvailable,N/A,3
TestResults.UnknownASN,Unknown,
TestResults.Overview.Title,Test Results,
TestResults.Overview.Tab.Label,Test Results,24
TestResults.Overview.Hero.Tests,Tests,18
TestResults.Overview.Hero.Networks,Networks,18
TestResults.Overview.Hero.DataUsage,Data Usage,18
TestResults.Overview.FilterTests,Filter Tests,
TestResults.Overview.FilterTests.AllTests,All Tests,
TestResults.Overview.FilterTests.Websites,Websites,
TestResults.Overview.FilterTests.MiddleBoxes,Middleboxes,
TestResults.Overview.FilterTests.Performance,Performance,
TestResults.Overview.FilterTests.InstantMessaging,Instant Messaging,
TestResults.Overview.NoTestsHaveBeenRun,No tests have been run yet. Try running one!,
TestResults.Overview.Websites.Blocked.Singular,{{Count}} blocked,23
TestResults.Overview.Websites.Blocked.Plural,{{Count}} blocked,23
TestResults.Overview.Websites.Tested.Singular,{{Count}} tested,23
TestResults.Overview.Websites.Tested.Plural,{{Count}} tested,23
TestResults.Overview.MiddleBoxes.Found,Detected,23
TestResults.Overview.MiddleBoxes.NotFound,Not detected,25
TestResults.Overview.MiddleBoxes.Failed,Failed,
TestResults.Overview.InstantMessaging.Blocked.Singular,{{Count}} blocked,23
TestResults.Overview.InstantMessaging.Blocked.Plural,{{Count}} blocked,23
TestResults.Overview.InstantMessaging.Available.Singular,{{Count}} accessible,23
TestResults.Overview.InstantMessaging.Available.Plural,{{Count}} accessible,23
TestResults.Summary.Hero.DateAndTime,Date & Time,23
TestResults.Summary.Hero.Network,Network,23
TestResults.Summary.Hero.Country,Country,
TestResults.Summary.Hero.DataUsage,Data Usage,23
TestResults.Summary.Hero.Runtime,Total Runtime,23
TestResults.Summary.Hero.WiFi,WiFi,
TestResults.Summary.Hero.Mobile,Mobile Data,
TestResults.Summary.Hero.NoInternet,No internet,
TestResults.Summary.Failed,Failed,
TestResults.Summary.Websites.Hero.Tested.Singular,Tested,20
TestResults.Summary.Websites.Hero.Tested.Plural,Tested,20
